timestamp,position,gain,movement_description
2806,78.13,-255,Shoulder 0 to 90 degrees PID
2816,78.49,-255,Shoulder 0 to 90 degrees PID
2826,79.01,-255,Shoulder 0 to 90 degrees PID
2837,79.54,-255,Shoulder 0 to 90 degrees PID
2848,79.89,-255,Shoulder 0 to 90 degrees PID
2858,80.33,-255,Shoulder 0 to 90 degrees PID
2869,81.12,-255,Shoulder 0 to 90 degrees PID
2879,81.65,-255,Shoulder 0 to 90 degrees PID
2890,81.91,-255,Shoulder 0 to 90 degrees PID
2900,82.35,-255,Shoulder 0 to 90 degrees PID
2910,82.71,-255,Shoulder 0 to 90 degrees PID
2921,83.06,-255,Shoulder 0 to 90 degrees PID
2931,83.41,-255,Shoulder 0 to 90 degrees PID
2942,84.37,-255,Shoulder 0 to 90 degrees PID
2952,84.81,-255,Shoulder 0 to 90 degrees PID
2963,85.25,-255,Shoulder 0 to 90 degrees PID
2973,85.52,-255,Shoulder 0 to 90 degrees PID
2984,85.96,-255,Shoulder 0 to 90 degrees PID
2994,86.22,-255,Shoulder 0 to 90 degrees PID
3004,87.1,-255,Shoulder 0 to 90 degrees PID
3015,87.54,-255,Shoulder 0 to 90 degrees PID
3025,87.98,-255,Shoulder 0 to 90 degrees PID
3036,88.33,-255,Shoulder 0 to 90 degrees PID
3046,88.77,-255,Shoulder 0 to 90 degrees PID
3057,89.21,-255,Shoulder 0 to 90 degrees PID
3067,90.18,-255,Shoulder 0 to 90 degrees PID
3078,90.44,-255,Shoulder 0 to 90 degrees PID
3088,90.79,-255,Shoulder 0 to 90 degrees PID
3099,91.23,-255,Shoulder 0 to 90 degrees PID
3110,91.76,-255,Shoulder 0 to 90 degrees PID
3120,92.2,-255,Shoulder 0 to 90 degrees PID
3131,92.9,-255,Shoulder 0 to 90 degrees PID
3141,93.25,-255,Shoulder 0 to 90 degrees PID
3152,93.69,-255,Shoulder 0 to 90 degrees PID
3162,94.13,-255,Shoulder 0 to 90 degrees PID
3173,94.75,-255,Shoulder 0 to 90 degrees PID
3183,95.01,-255,Shoulder 0 to 90 degrees PID
3193,95.36,-255,Shoulder 0 to 90 degrees PID
3203,96.15,-255,Shoulder 0 to 90 degrees PID
3213,96.68,-255,Shoulder 0 to 90 degrees PID
